original_smiles,intervened_smiles,intervention_strategy,original_logp,intervened_logp,original_hbd,intervened_hbd,original_hba,intervened_hba,is_chemically_valid
Clc1cc(cnc1)-c1cc(ccc1)C12N=C(OC1COCC2)N,NC1=NC2(c3cccc(-c4cccnc4)c3)CCOCC2O1,aromatic_chloro,2.7311000000000005,2.0776999999999997,1,1,5,5,True
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CC1)c1cc(ccc1)C1OCCOC1,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cccc(C3COCCO3)c2)CC1,fluoro_aromatic,1.7134999999999996,1.5743999999999998,3,3,4,4,True
O=C([O-])[C@@H](\[NH+]=C\1/NC(Cc2c/1cccc2)(C)C)Cc1ccccc1,[H]C(Cc1ccccc1)/[NH+]=C1\NC(C)(C)Cc2ccccc21,carboxylic_acid,-0.20069999999999655,1.6808,2,2,2,0,True
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(C(O)CCC)C1=O)C)C(O)C1[NH2+]CC(O)C1,CCCC(O)C1CCN(C(C)C(=O)NC(Cc2cccc(F)c2)C(O)C2CC(O)C[NH2+]2)C1=O,fluoro_aromatic,-0.5523999999999971,-0.6914999999999978,5,5,5,5,True
Clc1cc(ccc1)CN1C(=O)[C@](NC1=N)(CC(C)C)C,CC(C)C[C@@]1(C)NC(=N)N(Cc2ccccc2)C1=O,aromatic_chloro,3.011370000000001,2.357970000000001,2,2,2,2,True
Clc1cc2CC(N=C(NC(Cc3ccccc3)c3ncccn3)c2cc1)(C)C,CC1(C)Cc2ccccc2C(NC(Cc2ccccc2)c2ncccn2)=N1,aromatic_chloro,4.784900000000003,4.1315000000000035,1,1,4,4,True
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CCC(NC(OC)=O)CC1)c1cc(ccc1)C(C)(C)C,COC(=O)NC1CCC([NH2+]CC(O)C(Cc2cccc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CC1,fluoro_aromatic,3.427900000000003,3.288800000000003,4,4,4,4,True
Clc1cnc(nc1)C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1,CC1(c2cc(NC(=O)c3ncccn3)ccc2F)N=C(N)OCC1(F)F,aromatic_chloro,2.716800000000001,2.0633999999999997,2,2,6,6,True
Clc1cnc(nc1)C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1,CC1(c2cccc(NC(=O)c3ncc(Cl)cn3)c2)N=C(N)OCC1(F)F,fluoro_aromatic,2.716800000000001,2.577700000000001,2,2,6,6,True
Fc1ncccc1-c1cc(ccc1)C1(N=C(N)N(C)C1=O)c1ccc(OC(F)(F)F)cc1,CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3)c2)N=C1N,fluoro_aromatic,3.816600000000002,3.677500000000002,1,1,5,5,True
Clc1ccc(nc1)C(=O)Nc1cc(ccc1)C1(N=C(N)CNC1=O)C,CC1(c2cccc(NC(=O)c3ccccn3)c2)N=C(N)CNC1=O,aromatic_chloro,1.6894999999999991,1.0360999999999998,3,3,5,5,True
S(=O)(=O)(N(C)c1cc(cc(c1)C(OC[C@]([NH3+])(Cc1ccccc1)CO)=O)C(=O)N[C@H](C)c1ccc(F)cc1)C,C[C@@H](NC(=O)c1cc(C(=O)OC[C@@]([NH3+])(CO)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1,fluoro_aromatic,2.0850000000000004,1.9459000000000015,3,3,6,6,True
S(=O)(=O)(N(C)c1cc(cc(c1)C(OC[C@]([NH3+])(Cc1ccccc1)CO)=O)C(=O)N[C@H](C)c1ccc(F)cc1)C,[H][C@]([NH3+])(COC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)Cc1ccccc1,hydroxyl,2.0850000000000004,2.722500000000002,3,2,6,5,True
Fc1ccc(cc1-c1cncnc1)[C@]1([NH+]=C(N)c2c1cccc2F)c1cc(ncc1)C(F)(F)F,NC1=[NH+][C@@](c2cccc(-c3cncnc3)c2)(c2ccnc(C(F)(F)F)c2)c2cccc(F)c21,fluoro_aromatic,2.9270000000000005,2.7879000000000014,2,2,4,4,True
Clc1cc(cnc1)-c1cc2c(CC(CC23N=C(OC3)N)(C)C)cc1,CC1(C)Cc2ccc(-c3cccnc3)cc2C2(COC(N)=N2)C1,aromatic_chloro,3.9146000000000027,3.2612000000000014,1,1,4,4,True
Fc1ccc(cc1-c1cncnc1)[C@@]1(N=C(N)N(C)C1=O)c1ccc(OC(F)(F)F)cc1,CN1C(=O)[C@](c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cncnc3)c2)N=C1N,fluoro_aromatic,3.2116000000000007,3.0725000000000007,1,1,6,6,True
ClC1=CN=C(NC1=O)C(NC1=NC(Cc2c1ccc(Cl)c2)(C)C)Cc1ccccc1,CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2ccccc2)c2nccc(=O)[nH]2)=N1,aromatic_chloro,4.731600000000004,4.078200000000003,2,2,4,4,True
Fc1ccc(cc1C#CC)[C@]1(N=C(N)N(C)C1=O)c1ccc(OC(F)F)cc1,CC#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,fluoro_aromatic,2.828800000000001,2.689700000000001,1,1,4,4,True
Clc1cc(cc(F)c1)-c1cc(ccc1)C12N=C(OC1COCC2)N,NC1=NC2(c3cccc(-c4cccc(F)c4)c3)CCOCC2O1,aromatic_chloro,3.4752000000000036,2.8218000000000005,1,1,4,4,True
Clc1cc(cc(F)c1)-c1cc(ccc1)C12N=C(OC1COCC2)N,NC1=NC2(c3cccc(-c4cccc(Cl)c4)c3)CCOCC2O1,fluoro_aromatic,3.4752000000000036,3.336100000000002,1,1,4,4,True
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CCCCC1)c1ncnc(c1)C(C)(C)C,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cc(C(C)(C)C)ncn2)CCCCC1,fluoro_aromatic,2.883400000000001,2.744300000000001,3,3,4,4,True
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CCC(O)CC1)c1cc(ccc1)C(C)(C)C,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(O)CC1,fluoro_aromatic,3.0642000000000014,2.9251000000000014,4,4,3,3,True
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CCCCC1)c1cc(ccc1)-c1occc1,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cccc(-c3ccco3)c2)CCCCC1,fluoro_aromatic,4.055900000000003,3.916800000000002,3,3,3,3,True
Clc1cc2CC(N=C(NC(Cc3ccccc3)c3nc(ccn3)C)c2cc1)(C)C,Cc1ccnc(C(Cc2ccccc2)NC2=NC(C)(C)Cc3ccccc32)n1,aromatic_chloro,5.093320000000005,4.439920000000003,1,1,4,4,True
Fc1ccc(nc1)C(=O)Nc1cc(ccc1)C12N=C(OC1COCC2)N,NC1=NC2(c3cccc(NC(=O)c4ccccn4)c3)CCOCC2O1,fluoro_aromatic,1.8020999999999998,1.6629999999999998,2,2,6,6,True
Clc1ccccc1-c1n(Cc2nc(N)ccc2)c(cc1)-c1ccc(Oc2ccncc2)cc1,Nc1cccc(Cn2c(-c3ccccc3)ccc2-c2ccc(Oc3ccncc3)cc2)n1,aromatic_chloro,6.6883000000000035,6.034900000000004,1,1,5,5,True
Fc1ccc(NC(=O)c2ncc(OCC)cc2)cc1[C@]1(N=C(OCC1(F)F)N)C,CCOc1ccc(C(=O)Nc2cccc([C@@]3(C)N=C(N)OCC3(F)F)c2)nc1,fluoro_aromatic,3.0671000000000017,2.928000000000001,2,2,6,6,True
S1(=O)(=O)CC(Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cn(nc2)CC(C)(C)C)C1,CC(C)(C)Cn1cc(C[NH2+]C2CS(=O)(=O)CC(Cc3ccc(N)c(OC(C(F)(F)F)C(F)(F)F)c3)C2O)cn1,fluoro_aromatic,2.6027000000000005,2.4635999999999996,3,3,7,7,True
Fc1ncccc1-c1cc(ccc1)C1(N=C(N)N(C)C1=O)c1cn(nc1)CCF,CN1C(=O)C(c2cccc(-c3cccnc3)c2)(c2cnn(CCF)c2)N=C1N,fluoro_aromatic,2.0839999999999996,1.9448999999999996,1,1,6,6,True
Clc1cc(cc(Cl)c1NC(=O)C)C\N=C(\NC(=O)Cn1c2c(cccc2)cc1)/N,CC(=O)Nc1ccc(C/N=C(\N)NC(=O)Cn2ccc3ccccc32)cc1Cl,aromatic_chloro,3.537600000000001,2.8842,3,3,4,4,True
s1c(ccc1-c1cc(C#N)c(F)cc1)C12N=C(N)N(C)C(=O)C1CN(C2)c1ccccc1,CN1C(=O)C2CN(c3ccccc3)CC2(c2ccc(-c3cccc(C#N)c3)s2)N=C1N,fluoro_aromatic,3.544280000000003,3.405180000000003,1,1,6,6,True
Clc1ccccc1-c1n(Cc2nc(N)ccc2)c(cc1)-c1ccc(Nc2cncnc2)cc1,Nc1cccc(Cn2c(-c3ccccc3)ccc2-c2ccc(Nc3cncnc3)cc2)n1,aromatic_chloro,6.034600000000004,5.381200000000003,2,2,6,6,True
Clc1cc2CC(N=C(NC(Cc3cscc3-c3cn(nc3)C)C(=O)[O-])c2cc1)(C)C,Cn1cc(-c2cscc2CC(NC2=NC(C)(C)Cc3ccccc32)C(=O)[O-])cn1,aromatic_chloro,2.8341000000000003,2.1807,1,1,7,7,True
Clc1cc2CC(N=C(NC(Cc3cscc3-c3cn(nc3)C)C(=O)[O-])c2cc1)(C)C,[H]C(Cc1cscc1-c1cnn(C)c1)NC1=NC(C)(C)Cc2cc(Cl)ccc21,carboxylic_acid,2.8341000000000003,4.715600000000004,1,1,7,5,True
FC(F)Oc1ccc(cc1)[C@@]1(N=C(N)N(C)C1=O)c1cc(ccc1)C#CCCCCO,[H]CCCC#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,hydroxyl,2.832400000000001,3.4699000000000018,2,1,5,4,True
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(C(C)C)C1=O)C)C(O)C1[NH2+]CC(OCCC)C1,CCCOC1C[NH2+]C(C(O)C(Cc2cccc(F)c2)NC(=O)C(C)N2CCC(C(C)C)C2=O)C1,fluoro_aromatic,1.3769000000000016,1.237800000000002,3,3,4,4,True
Clc1cc2CC([NH+]=C(N[C@@H](C[C@H]3[C@H](SC=C3c3cn[nH]c3)CCC)C(=O)[O-])c2cc1)(C)C,CCC[C@H]1SC=C(c2cn[nH]c2)[C@H]1C[C@H](NC1=[NH+]C(C)(C)Cc2ccccc21)C(=O)[O-],aromatic_chloro,1.896,1.2426000000000006,3,3,5,5,True
Clc1cc2CC([NH+]=C(N[C@@H](C[C@H]3[C@H](SC=C3c3cn[nH]c3)CCC)C(=O)[O-])c2cc1)(C)C,[H]C(C[C@@H]1C(c2cn[nH]c2)=CS[C@@H]1CCC)NC1=[NH+]C(C)(C)Cc2cc(Cl)ccc21,carboxylic_acid,1.896,3.7775000000000034,3,3,5,3,True
Fc1cc(cnc1)-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cccnc4)cc32)N=C1N,fluoro_aromatic,2.4307999999999996,2.2916999999999996,1,1,5,5,True
S1(=O)CC(Cc2cc(OC(COC)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2noc(c2)CC(C)(C)C)C1,COCC(Oc1cc(CC2CS(=O)CC([NH2+]Cc3cc(CC(C)(C)C)on3)C2O)ccc1N)C(F)(F)F,fluoro_aromatic,2.3547000000000002,2.2155999999999993,3,3,7,7,True
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CCCCC1)c1cc(N2CCCNC2=O)ccc1,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cccc(N3CCCNC3=O)c2)CCCCC1,fluoro_aromatic,2.7156000000000002,2.5765000000000002,4,4,3,3,True
Fc1ccc(NC(=O)c2ncc(cc2)C#N)cc1[C@]1(N=C(O[C@H](C1)C(F)(F)F)N)C,C[C@@]1(c2cccc(NC(=O)c3ccc(C#N)cn3)c2)C[C@H](C(F)(F)F)OC(N)=N1,fluoro_aromatic,3.225780000000001,3.0866800000000003,2,2,6,6,True
FC1(F)COC(=NC1(C)c1cc(NC(=O)c2nn(cc2)C(F)F)ccc1F)N,CC1(c2cccc(NC(=O)c3ccn(C(F)F)n3)c2)N=C(N)OCC1(F)F,fluoro_aromatic,2.865,2.7258999999999993,2,2,6,6,True
Fc1ccc(cc1C#CCCCF)[C@]1(N=C(N)N(C)C1=O)c1ccc(OC(F)F)cc1,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CCCCF)c2)N=C1N,fluoro_aromatic,3.558600000000002,3.419500000000002,1,1,4,4,True
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CC1)c1cc(N2C3CC(CC3)C2)ccc1,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cccc(N3CC4CCC3C4)c2)CC1,fluoro_aromatic,2.6143,2.4752,3,3,3,3,True
O1CC(NC(=O)c2cc(cc(c2)C(=O)NCC\C=C\C1)C)C(O)C[NH2+]Cc1ccccc1,[H]c1cc(C)cc(C(=O)NCC/C=C/COCCC(O)C[NH2+]Cc2ccccc2)c1,amide,0.9242200000000013,2.2023200000000003,4,3,4,3,True
S1(=O)(=O)N(C2(CC([NH+](CC2)Cc2cc(OC(C)C)ccc2)C)CN1c1ccncc1)c1cc(F)ccc1,CC(C)Oc1cccc(C[NH+]2CCC3(CC2C)CN(c2ccncc2)S(=O)(=O)N3c2ccccc2)c1,fluoro_aromatic,3.5855000000000032,3.4464000000000024,1,1,4,4,True
Fc1ccc(cc1-c1cccnc1)C1(N=C(N2C1=NCC(F)(F)C2)N)c1cc(C)c(OC)cc1,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N3CC(F)(F)CN=C32)cc1C,fluoro_aromatic,4.126020000000002,3.9869200000000022,1,1,6,6,True
Fc1ncccc1-c1cc(ccc1)[C@]1(N=C(OC1)N)c1ccc(OC)cc1,COc1ccc([C@@]2(c3cccc(-c4cccnc4)c3)COC(N)=N2)cc1,fluoro_aromatic,3.484800000000001,3.345700000000001,1,1,5,5,True
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CC1)c1cc(ccc1)C(C)(C)C,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CC1,fluoro_aromatic,2.9231000000000007,2.7840000000000007,3,3,2,2,True
Fc1cc(cc(F)c1)C[C@H](NC(=O)C)[C@H](O)C[NH2+]C(C)(C)c1cc(ccc1)C(C)(C)C,CC(=O)N[C@@H](Cc1cccc(F)c1)[C@H](O)C[NH2+]C(C)(C)c1cccc(C(C)(C)C)c1,fluoro_aromatic,3.169100000000001,3.030000000000001,3,3,2,2,True
Fc1ccc(NC(=O)c2ncc(cc2)C#N)cc1[C@]1(N=C(OCC1)N)C,C[C@@]1(c2cccc(NC(=O)c3ccc(C#N)cn3)c2)CCOC(N)=N1,fluoro_aromatic,2.29488,2.15578,2,2,6,6,True
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CCCN(C1)C(=O)N)c1cc(ccc1)C(C)(C)C,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCCN(C(N)=O)C1,fluoro_aromatic,2.3038000000000016,2.1647000000000016,4,4,3,3,True
S1(=O)(=O)CC(Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,CC(C)(C)c1cccc(C[NH2+]C2CS(=O)(=O)CC(Cc3ccc(N)c(OC(C(F)(F)F)C(F)(F)F)c3)C2O)c1,fluoro_aromatic,3.657600000000002,3.518500000000002,3,3,5,5,True
Clc1cc(cc(F)c1)-c1cc(ccc1)C12N=C(OC1CCCC2)N,NC1=NC2(c3cccc(-c4cccc(F)c4)c3)CCCCC2O1,aromatic_chloro,4.628900000000005,3.975500000000002,1,1,3,3,True
Clc1cc(cc(F)c1)-c1cc(ccc1)C12N=C(OC1CCCC2)N,NC1=NC2(c3cccc(-c4cccc(Cl)c4)c3)CCCCC2O1,fluoro_aromatic,4.628900000000005,4.489800000000003,1,1,3,3,True
Fc1ncccc1-c1cc(ccc1)[C@]1([NH+]=C(N2C1=NCCC2)N)c1cc2OCCOc2cc1,NC1=[NH+][C@@](c2cccc(-c3cccnc3)c2)(c2ccc3c(c2)OCCO3)C2=NCCCN21,fluoro_aromatic,1.4155999999999997,1.2764999999999995,2,2,6,6,True
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CCOCC1)c1cc(ccc1)C(C)(C)C,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCOCC1,fluoro_aromatic,2.939700000000002,2.800600000000002,3,3,3,3,True
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)C(O)C1[NH2+]CC[NH2+]C1,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)NC(Cc2cccc(F)c2)C(O)C2C[NH2+]CC[NH2+]2)c1,fluoro_aromatic,0.7464200000000034,0.6073200000000035,4,4,3,3,True
Clc1cc(cc(Cl)c1NC(=O)C)CNC(=[NH2+])NC(=O)Cn1c2c(cccc2)cc1,CC(=O)Nc1ccc(CNC(=[NH2+])NC(=O)Cn2ccc3ccccc32)cc1Cl,aromatic_chloro,1.9275999999999998,1.2742000000000002,4,4,3,3,True
S1(=O)(=O)CC(Cc2cc(F)c(N)cc2)C(O)C([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,CC(C)(C)c1cccc(C[NH2+]C2CS(=O)(=O)CC(Cc3ccc(N)cc3)C2O)c1,fluoro_aromatic,1.7856000000000005,1.6465000000000007,3,3,4,4,True
Brc1sccc1CC(NC1=NC(Cc2c1ccc(Cl)c2)(C)C)C(=O)[O-],CC1(C)Cc2ccccc2C(NC(Cc2ccsc2Br)C(=O)[O-])=N1,aromatic_chloro,3.1961000000000013,2.5427,1,1,5,5,True
Brc1sccc1CC(NC1=NC(Cc2c1ccc(Cl)c2)(C)C)C(=O)[O-],[H]C(Cc1ccsc1Br)NC1=NC(C)(C)Cc2cc(Cl)ccc21,carboxylic_acid,3.1961000000000013,5.077600000000003,1,1,5,3,True
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CC1)c1nnn(c1)CC(C)(C)C,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cn(CC(C)(C)C)nn2)CC1,fluoro_aromatic,1.2631999999999999,1.1241,3,3,5,5,True
Clc1cc2CC(N=C(NC(Cc3ccccc3)C=3NC(=O)c4c(N=3)ccnc4)c2cc1)(C)C,CC1(C)Cc2ccccc2C(NC(Cc2ccccc2)c2nc3ccncc3c(=O)[nH]2)=N1,aromatic_chloro,4.626400000000004,3.9730000000000025,2,2,5,5,True
Clc1ccc(nc1)C(=O)Nc1cc(C2(N=C(N)CCOC2)C)c(F)cc1,CC1(c2cc(NC(=O)c3ccccn3)ccc2F)COCCC(N)=N1,aromatic_chloro,3.1191000000000013,2.4657,2,2,5,5,True
Clc1ccc(nc1)C(=O)Nc1cc(C2(N=C(N)CCOC2)C)c(F)cc1,CC1(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)COCCC(N)=N1,fluoro_aromatic,3.1191000000000013,2.9800000000000013,2,2,5,5,True
Clc1ccccc1-c1n(Cc2nc(N)ccc2)c(cc1)-c1ccc(OCCCC)cc1,CCCCOc1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,aromatic_chloro,6.679900000000004,6.026500000000005,1,1,4,4,True
O1CC(NC(=O)c2cc(cc(c2)C(=O)NCC\C=C\C1)C)C(O)C[NH2+]Cc1cc(ccc1)C(C)C,[H]c1cc(C)cc(C(=O)NCC/C=C/COCCC(O)C[NH2+]Cc2cccc(C(C)C)c2)c1,amide,2.04762,3.3257200000000022,4,3,4,3,True
Clc1cc(ccc1)-c1cc2c(OC(C[C@@]23N=C(N)N(C)C3=O)(C)C)cc1,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4ccccc4)cc32)N=C1N,aromatic_chloro,3.5501000000000023,2.896700000000001,1,1,4,4,True
Brc1cc(cc(F)c1N)C[C@@H]1CS(=O)(=O)C[C@H]([NH2+]Cc2cc(ccc2)C(F)(F)C)[C@H]1O,CC(F)(F)c1cccc(C[NH2+][C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(N)c(Br)c3)[C@@H]2O)c1,fluoro_aromatic,2.3623,2.2232,3,3,4,4,True
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(CCCC)C1=O)C)C(O)C1[NH2+]CC(O)C1,CCCCC1CCN(C(C)C(=O)NC(Cc2cccc(F)c2)C(O)C2CC(O)C[NH2+]2)C1=O,fluoro_aromatic,0.47680000000000233,0.3377000000000027,4,4,4,4,True
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CC1)c1nccc(c1)C(C)(C)C,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cc(C(C)(C)C)ccn2)CC1,fluoro_aromatic,2.3181000000000003,2.1790000000000003,3,3,3,3,True
S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(C)c1ccc(F)cc1)-c1nc([nH]n1)C([NH3+])(Cc1ccccc1)C)C,CC(NC(=O)c1cc(-c2n[nH]c(C(C)([NH3+])Cc3ccccc3)n2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1,fluoro_aromatic,3.197400000000002,3.058300000000001,3,3,5,5,True
s1cccc1C1([NH2+]CC(O)C(NC(=O)C)Cc2cc(F)cc(F)c2)CCCCC1,CC(=O)NC(Cc1cccc(F)c1)C(O)C[NH2+]C1(c2cccs2)CCCCC1,fluoro_aromatic,2.857400000000001,2.718300000000001,3,3,3,3,True
Fc1c2c(ccc1)C(N=C2N)(c1cc(ccc1)-c1cncnc1)c1ccc(OC)cc1,COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3ccccc32)cc1,fluoro_aromatic,4.302100000000002,4.163000000000003,1,1,5,5,True
S1(=O)(=O)CC(Cc2cc(CCC)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,CCCc1cc(CC2CS(=O)(=O)CC([NH2+]Cc3cccc(C(C)(C)C)c3)C2O)ccc1N,fluoro_aromatic,2.738100000000002,2.599000000000001,3,3,4,4,True
Fc1cc(cc(F)c1)C[C@H](NC(=O)C)[C@H](O)C[NH2+]C1(CC1)c1cc(ccc1)[C@H]1CCOC1,CC(=O)N[C@@H](Cc1cccc(F)c1)[C@H](O)C[NH2+]C1(c2cccc([C@H]3CCOC3)c2)CC1,fluoro_aromatic,2.1295,1.9903999999999997,3,3,3,3,True
Fc1c2c(ccc1)C(N=C2N)(c1cc(ccc1)-c1cc(F)cnc1)c1ccncc1,NC1=NC(c2ccncc2)(c2cccc(-c3cncc(F)c3)c2)c2ccccc21,fluoro_aromatic,4.432600000000003,4.2935000000000025,1,1,4,4,True
Fc1ncccc1-c1cc(ccc1)C1(N=C(N)N(C)C1=O)c1cn(nc1)CC(C)C,CC(C)Cn1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cn1,fluoro_aromatic,2.770500000000001,2.6314,1,1,6,6,True
S1(=O)(=O)NCC2(N1c1cc(F)ccc1)CC([NH+](CC2)Cc1cc(OC)ccc1)C,[H]N(c1cccc(F)c1)C1(C)CC[NH+](Cc2cccc(OC)c2)C(C)C1,sulfonamide,1.4949000000000001,3.272300000000002,2,2,3,2,True
